Site;Context;Horizon;Number of sherds;Decor 1;Decor 2;Decor 3;Decor 4;Decor5;Decor6;;;;;;;;;;;;;;;
TOG2;43;;1;RSO;CH;CR4;;;;;;;;;;;;;;;;;;
TOG2;43;;2;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;43;;1;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;43;;2;rough;;;;;;;;;;;;;;;;;;;;
TOG2;43;;1;rso;ch;si-triangles;p-r-l;p-r-t;;;;;;;;;;;;;;;;
TOG2;44;;13;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;44;;1;cr6;;;;;;;;;;;;;;;;;;;;
TOG2;44;;2;double cr6;;;;;;;;;;;;;;;;;;;;
TOG2;44;;3;vpr;;;;;;;;;;;;;;;;;;;;
TOG2;44;;1;cr2;;;;;;;;;;;;;;;;;;;;
TOG2;44;;1;rso;;;;;;;;;;;;;;;;;;;;
TOG2;44;;1;vpr;P-r;;;;;;;;;;;;;;;;;;;
TOG2;44;;1;cr4;mch;;;;;;;;;;;;;;;;;;;
TOG2;44;;2;cr4;P-r;;;;;;;;;;;;;;;;;;;
TOG2;44;;1;rso;ch;vpr;;;;;;;;;;;;;;;;;;
TOG2;45;;19;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;45;;3;plain;;;;;;;;;;;;;;;;;;;;
TOG2;45;;3;vpr;;;;;;;;;;;;;;;;;;;;
TOG2;45;;5;rough;;;;;;;;;;;;;;;;;;;;
TOG2;45;;4;erod;;;;;;;;;;;;;;;;;;;;
TOG2;45;;2;rso;;;;;;;;;;;;;;;;;;;;
TOG2;45;;1;P-r;plain;;;;;;;;;;;;;;;;;;;
TOG2;45;;1;cr8?;;;;;;;;;;;;;;;;;;;;
TOG2;45;;2;cr6;si4;red slip;;;;;;;;;;;;;;;;;;
TOG2;45;;1;rso;ch;;;;;;;;;;;;;;;;;;;
TOG2;45;;1;rough;geoherb (int);;;;;;;;;;;;;;;;;;;
TOG2;45;;1;cr2;red slip;ch;;;;;;;;;;;;;;;;;;
TOG2;45;;1;cr4;si4;;;;;;;;;;;;;;;;;;;
TOG2;45;;1;vpr;si4;;;;;;;;;;;;;;;;;;;
TOG2;45;;1;cr;si4;;;;;;;;;;;;;;;;;;;
TOG2;45;;1;erod;vpr;;;;;;;;;;;;;;;;;;;
TOG2;46;;35;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;46;;8;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;46;;5;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;46;;4;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;46;;9;Plain;;;;;;;;;;;;;;;;;;;;
TOG2;46;;1;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;46;;5;CR6;;;;;;;;;;;;;;;;;;;;
