Site;Context;Horizon;Parts;MaxTh;MinTh;RimAngle;RimType;Diameter;Temper;Burnish;Slip;Motif1;Loc1;Motif2;Loc2;Motif3;Loc3;Motif4;Loc4;Type;;
TOG2;2;B;LNS;12;10;6;L1;20;31;T/O;0;PLAIN;LNS;;;;;;;;;
TOG2;2;B;B;17;10;N/A;B5;11;31;0;0;PLAIN;B;;;;;;;;;
TOG2;2;B;LNS;13;11;6;E90;22;31;0;0;PLAIN;LNS;;;;;;;;;
TOG2;2;B;LNS;12;10;6;E90;24;31;0;0;PLAIN;LNS;;;;;;;;;
TOG2;2;B;LN;8;7;6;E90;16;31;0;0;PLAIN;LNS;;;;;;;;;
TOG2;2;B;LNS;9;6;2;E1;7;31;0;0;P-R-L-N;N;CR4;S;;;;;;;
TOG2;2;B;LN;10;9;6;L2;N/A;31;LN;LN;RSO;LN;;;;;;;;;
TOG2;2;B;LNS;10;9;2;S1;8;31;LNS;LNS;RSO;LNS;;;;;;;;;
TOG2;21;D;LNS;11;10;3;S1;14;31;;;CH;N;CR4;S;;;;;;;
TOG2;21;D;LNS;11;9;4;S1;16;31;;;CH;N;CR4;S;;;;;;;
TOG2;21;D;LNS;18;12;2;XY3;18;31;;;CR0;S;;;;;;;;;
TOG2;21;D;LNS;16;8;2;XY3;18;31;LN;LN;CR4;S;;;;;;;;;
TOG2;21;D;LNS;18;8;2;XY3;16;31;LN;LN;CR4;S;;;;;;;;;
TOG2;21;D;LNS;13;11;3;XY1;20;311;;;CR4;S;;;;;;;;;
TOG2;21;D;LNS;14;11;4;S1;30;32;LNint;LNint;CR4;S;;;;;;;;;
TOG2;21;D;LNS;11;8;4;E1;24;31;;;CR4;S;;;;;;;;;
TOG2;21;D;LNS;11;9;;S1;INDETER;31;;;EROD;S;;;;;;;;;
TOG2;21;D;LNS;18;10;2;S1;18;31;LN;LN;PLAIN;NS;;;;;;;;;
TOG2;22;D;LN;10;8;;BT3;10;31;LN;LN;PLAIN;LN;;;;;;;;;
TOG2;23;D;LNSM;19;13;2;S1;20;31;;LN;CH;N;CR4;S;;;;;;;
TOG2;23;D;LNS;14;11;2;S1;18;31;LN;LN;CH;N;CR4;S;;;;;;;
TOG2;23;D;LNS;11;9;3;S1;18;31;LN int ext;LN int ext;CH;N;CR4;S;;;;;;;
TOG2;23;D;LNS;11;8;2;S1;14;31;LN;LN;CH;N;CR4;S;;;;;;;
TOG2;23;D;LNS;13;10;2;S1;24;31;LN;LN;CH;N;PLAIN;LNS;;;;;;;
TOG2;23;D;LNS;14;10;3;S1;INDETER;31;LN;LN;CH;N;PLAIN;LNS;;;;;;;
TOG2;23;D;LNS;20;14;2;XY3;26;31;LN;LN;CR0;S;;;;;;;;;
TOG2;23;D;LNS;14;13;2;XY2;12;31;;;CR4;S;;;;;;;;;
TOG2;23;D;LNS;13;11;1;N1;20;31;LN;LN;CR4;S;;;;;;;;;
TOG2;23;D;LNS;20;12;2;XY2;18;31;;;CR4;S;;;;;;;;;
TOG2;23;D;LNS;12;12;2;S1;22;31;;;CR4;S;;;;;;;;;
TOG2;23;D;LNS;22;18;2;S1;28;31;LN;LN;CR4;S;;;;;;;;;
TOG2;23;D;LNS;21;15;1;S1;30;32;;;CR4;S;;;;;;;;;
TOG2;23;D;LNS;13;11;5;S1;28;31;LNint;LNint;CR4;S;PLATE?;;;;;;;;
TOG2;23;D;LNS;12;9;6;E90;20;31;;;EROD;NS;;1;;;;;;;
TOG2;23;D;LNS;11;10;2;S1;INDETER;31;;;EROD;S;;;;;;;;;
TOG2;23;D;LNS;13;9;3;S13;30;31;;;EROD;NS;;;;;;;;;
TOG2;23;D;LNS;12;9;4;S10;20;31;;;EROD;NS;;;;;;;;;
TOG2;23;D;LNS;10;9;2;S1;22;31;;;EROD;NS;;;;;;;;;
TOG2;23;D;LNS;10;8;5;L2?;18;31;;;EROD;NS;;;;;;;;;
TOG2;23;D;LNS;11;9;5;L2?;16;31;;;EROD;NS;;;;;;;;;
TOG2;23;D;LNS;13;10;2;S1;16;31;;;EROD;NS;;;;;;;;;
TOG2;23;D;LNS;14;9;3;S15;INDETER;31;;;EROD;NS;;;;;;;;;
TOG2;23;D;B;11;10;;B7;6;31;;;EROD;;BASE;;;;;;;;
TOG2;23;D;B;14;12;;B1;7;31;;;EROD;;BASE;;;;;;;;
TOG2;23;D;LNS;11;8;2;S1;14;31;;;MCH;N;PLAIN;NS;;;;;;;
TOG2;23;D;LNS;14;9;2;S1;16;31;;;PA;N;CR0;S;;;;;;;
TOG2;23;D;LNS;22;12;2;S1;20;31;;;PA;N;CR4;S;;;;;;;
TOG2;23;D;LNS;11;9;2;S1;10;31;LN;LN;PA;N;PLAIN;NS;;;;;;;
TOG2;23;D;LNS;14;10;3;S1;32;31;LN;LN;Perf;N;EROD;S;;;;;;;
TOG2;23;D;LNS;15;13;;BT3;14;31;LN;LN;PLAIN;LN;;;;;;;;;
TOG2;24;DE;LNS;13;8;4;S1;29;31;0;INT;CR4;S;;;;;;;;;
TOG2;24;DE;LNS;11;8;6;E90;25;31;INT;INT;PLAIN;NS;;;;;;;;;
TOG2;24;DE;LNS;11;10;6;L2;N/A;31;0;0;ROUGHENED;LN;CR;S;;;;;;;
TOG2;24;DE;LNS;15;13;4;S1;27;31;INT;INT;RSO;INT;CR4;S;;;;;;;
TOG2;24;DE;LN;11;8;N/A;E;15;31;T/O;T/O;RSO;LN;;;;;;;;;
TOG2;24;DE;NS;18;9;2;Y;N/A;31;L;L;VPR;S;;;;;;;;;
TOG2;26;DE;LNSM;13;10;4;S1;18;31;LN;LN;CH;N;CR4;S;P-R-Géométric;S;;;;;
TOG2;26;DE;LN;12;9;2;S1;14;31;LN;LN;CH;N;PLAIN;LN;;;;;;;
TOG2;26;DE;LN;13;11;2;S1;12;31;;;CH;N;PLAIN;LN;;;;;;;
TOG2;26;DE;LNS;33;25;;S1;INDETER;31;;;CR4;S;;;;;;;;;
TOG2;26;DE;LNS;13;8;2;E8;20;31;;;CR6;S;;;;;;;;;
TOG2;26;DE;LNS;26;12;2;XY4;14;31;;;EROD;S;;;;;;;;;
TOG2;26;DE;LNS;10;7;5;L2;42;31;;;PLAIN;LNS;;;;;;;;;
TOG2;27;DE;LNS;13;8;2;S1;16;31;;;CH;Lint;EROD;NS;;;;;;;
TOG2;27;DE;LNS;13;9;2;S1;22;31;LN;LN;CH;N;PLAIN;S;;;;;;;
TOG2;27;DE;LNS;15;11;2;S1;16;31;LN;LN;CH;L;EROD;S;;;;;;;
TOG2;27;DE;LNS;12;10;3;S1;18;31;LNint;LNint;CH;S;CR4;S;;;;;;;
TOG2;27;DE;LNS;12;9;2;S1;12;31;LN;LN;CH;N;CR4;S;;;;;;;
TOG2;27;DE;LN;9;7;2;S1;12;31;LN;LN;CH;L;PLAIN;N;;;;;;;
TOG2;27;DE;LNS;13;10;3;S1;22;31;;LN;CH;N;PLAIN;NS;;;;;;;
TOG2;27;DE;LNS;10;8;1;S1;8;31;LN;LN;CH;N;PLAIN;NS;;;;;;;
TOG2;27;DE;LNS;16;8;2;XY1;22;31;;;CR4;S;;;;;;;;;
TOG2;27;DE;LNS;15;11;2;S5;12;31;;;CR4;S;;;;;;;;;
TOG2;27;DE;LNS;16;12;4;S1;30;31;;;CR4;S;;;;;;;;;
TOG2;27;DE;LNS;13;9;4;S7;20;31;;;CR4;S;;;;;;;;;
TOG2;27;DE;LNS;20;10;2;XY3;24;31;;LN;CR4;S;;;;;;;;;
TOG2;27;DE;LNS;10;7;4;S1;24;31;;;EROD;NS;;;;;;;;;
TOG2;27;DE;LNS;12;8;6;E90;28;31;;;EROD;NS;;;;;;;;;
TOG2;27;DE;LNS;11;10;3;S1;20;31;;;EROD;S;;;;;;;;;
TOG2;27;DE;LNS;12;7;6;E90;20;31;;;EROD;S;;;;;;;;;
TOG2;27;DE;LNS;9;6;2;E8;16;31;;;EROD;NS;;;;;;;;;
TOG2;27;DE;LNS;11;8;2;E8;30;31;;;EROD;S;;;;;;;;;
TOG2;27;DE;LNS;16;9;2;XY3;24;31;;;EROD;S;;;;;;;;;
TOG2;27;DE;LNS;10;9;2;S10;18;31;LNint;LNint;EROD;S;;;;;;;;;
TOG2;27;DE;LNS;10;9;6;E90;INDETER;31;;;EROD;S;;;;;;;;;
TOG2;27;DE;LNS;13;10;5;S1;24;31;;;PLAIN;NS;PLATE?;;;;;;;;
TOG2;27;DE;LN;11;9;1;S1;16;31;LN;LN;PLAIN;LN;;;;;;;;;
TOG2;27;DE;LNS;9;6;2;S1;16;31;;;PLAIN;S;;;;;;;;;
TOG2;3;B;LNS;14;1;4;S1;18;31;LN;LN;CH;N;Inconnu ;S;;;;;;;
TOG2;3;B;LNS;15;10;2;E1;24;31;LN;;CR4;S;;;;;;;;;
