Phase;Unit;Rim Type;Rim Angle;MxRT;MnBT;Diameter;Temper;Firing;Burnish;Slip;Motif1;Loc1;Motif2;Loc2;Motif3;Loc3;Motif4;Loc4
4;A;E1;1;10;10;12;44;12;L;INT EXT;GRASS;N U;;;;;;
4;A;E52;1;8;6;14;44;8;L;EXT;GRASS;U;;;;;;
4;A;E52;1;10;7;14;44;8;L;INT EXT;RSO;U;;;;;;
4;A;E52;;11;;14;31;13;L;INT;;;;;;;;
4;A;E68;;9;;14;44;3;L;0;;;;;;;;
4;A;S1;1;11;8;8;32;1;0;L EXT;GRASS;N U;P B-G;N U;P W-G;;;
4;A;S1;2;9;7;16;32;1;0;L;GRASS;N U;;;;;;
4;A;E9;4;7;7;12;32;1;0;0;PLAIN;T/O;;;;;;
4;A;S3;2;9;4;24;31;1;0;INT L;TW4;N U;;;;;;
4;A;E53;1;10;7;22;31;13;0;L;P W-G;N U;GRASS;U;;;;
4;A;E67;2;9;11;8;31;2;0;0;PLAIN;T/O;PERF;;;;;
4;A;E57;4;10;8;14;31;8;0;0;PLAIN;T/O;;;;;;
4;A;B2;;9;5;12;32;1;0;0;PLAIN;T/O;;;;;;
3/4;A;S1;2;9;6;9;44;3;INT L;INT L;GRASS;N U;P B-G;N U M B;P G-W;N U M;P W-W;N U M
3/4;A;E3;1;8;8;16;31;8;0;EXT;GRASS;U;;;;;;
3/4;A;E2;2;8;10;22;31;1;INT L;INT EXT;GRASS;CH;;;;;;
3/4;A;E3;2;10;11;8;32;1;0;INT L;GRASS;U;;;;;;
3/4;A;S1;2;10;10;;31;10;0;INT EXT;GRASS;N U;;;;;;
3/4;A;E3;1;11;10;14;31;8;0;EXT;P G-G;N;GRASS;N U;;;;
3/4;A;E52;2;10;11;18;31;13;0;INT L;P R-G;L;P W-G;C N;P R-W;U;GRASS;U
3/4;A;S1;3;10;10;22;32;9;0;INT EXT;TW6;N U;;;;;;
3/4;A;S1;2;10;8;10;32;1;INT L;IN;DC2;N U;CSR7;M;P W-G;M;;
3/4;A;E58;1;10;8;18;31;1;0;L U;GRASS;C N U;TW4;M;;;;
3/4;A;E51;2;12;8;20;31;1;0;T/O;GRASS;C N U;;;;;;
3/4;A;E52;2;11;11;16;32;1;L;INT;P B-G;L;P W-G;C;GRASS;N;P B-G;N
3/4;A;E58;4;9;7;8;32;1;INT;INT;P W-W;EXT;;;;;;
3/4;A;E52;2;10;9;22;32;1;0;L;PLAIN;T/O;;;;;;
3/4;A;S2;2;8;6;10;31;1;0;0;PLAIN;N U;;;;;;
3/4;A;E1;;11;;;31;1;0;INT;PLAIN;N;;;;;;
3up;A;S1;2;8;7;10;31;1;0;INT;DC2;N;;;;;;
3up;A;E52;1;10;10;16;31;1;0;L;GRASS;N U;P R-W;U;;;;
3up;A;E52;1;8;9;14;31;1;0;INT L;GRASS;U;;;;;;
3up;A;E52;1;8;11;20;31;8;L;L;GRASS;N U;;;;;;
3up;A;E2;;9;;;32;1;0;0;GRASS;C;;;;;;
3up;A;E57;;9;;;44;4;0;0;GRASS;C;;;;;;
3up;A;E52;;9;;;32;1;0;0;P R-G;L;;;;;;
3up;A;E51;1;11;7;14;31;1;L;L;P W-G;C;;;;;;
3up;A;E52;1;10;6;6;31;1;INT;INT L;P W-G;C;;;;;;
3up;A;E52;1;11;7;8;31;1;L;L;P W-G;C;;;;;;
3up;A;E52;1;10;10;16;31;5;L;L;P W-G;C U;;;;;;
3up;A;E52;1;9;7;8;31;9;L;L;PLAIN;C N;;;;;;
3up;A;E52;1;9;6;8;44;8;INT L;INT L;PLAIN;C;;;;;;
3up;A;E53;;10;;;31;1;L;L;PLAIN;C;;;;;;
3up;A;S2;2;8;7;10;31;12;L;L;DC2;N U;;;;;;
3up;A;S1;2;7;7;10;44;8;INT L;INT EXT;GRASS;N U;;;;;;
3up;A;S1;2;10;8;;31;10;INT L;INT EXT;GRASS;N U;;;;;;
3up;A;S1;2;8;7;;31;1;0;EXT;PLAIN;N U;;;;;;
3up;A;E51;;9;;;44;12;L;L;PLAIN;L C;;;;;;
3up;A;E51;;10;;;31;1;L;L;PLAIN;L C;;;;;;
3up;A;S10;3;6;7;8;32;9;0;INT;CSR7;;;;;;;
3up;A;S1;2;10;5;14;31;9;INT;INT EXT;DC2;N U;;;;;;
3up;A;S1;2;14;15;34;32;1;INT;INT EXT;DC2;N U;;;;;;
3up;A;S1;2;13;12;30;44;12;INT;INT;GRASS;N;CCRY;U;;;;
3up;A;S1;2;9;7;;31;9;L;INT EXT;GRASS;N;CCRY;U;;;;
3up;A;S2;3;9;6;14;32;1;INT;INT;GRASS;N U;TW12;M B;;;;
3up;A;S1;2;14;14;28;32;1;0;INT EXT;GRASS;N;TW4;U;;;;
3up;A;E57;;10;;;31;1;0;0;PLAIN;N;;;;;;
3up;A;E58;;10;;;31;1;0;0;PLAIN;N;;;;;;
3up;A;S1;2;9;4;14;31;8;L;L;;N;CCRY;U;P R-W;N U;P W-G;U
3up;A;E51;;8;;10;32;1;L;L;;;;;;;;
3up;A;E51;;9;;14;31;1;0;0;;;;;;;;
3up;A;E68;1;9;7;18;32;10;L;L EXT;P W-W;C;GRASS;U;;;;
3up;A;E52;1;8;5;10;32;1;L;L;P W-W;C;;;;;;
3 low;A;S1;2;11;11;24;32;8;T/O;L;CH;N;GRASS;U;CCRY;U M;;
3 low;A;S1;1;8;6;10;31;1;0;EXT;CH;N;GRASS;U;;;;
3 low;A;S2;2;10;10;12;32;9;INT L;INT L;CH;N;GRASS;U;;;;
3 low;A;S9;2;10;10;14;32;8;0;EXT;CH;N;GRASS;U;;;;
3 low;A;E69;2;7;7;8;31;1;0;0;CH;C;;;;;;
3 low;A;E53;1;10;9;8;31;10;L;L;EROD;;;;;;;
3 low;A;S2;2;10;6;12;32;1;T/O;T/O;GRASS;N U;;;;;;
3 low;A;S2;2;12;12;14;32;12;INT;T/O;GRASS;N U;;;;;;
3 low;A;S2;3;8;5;10;31;1;INT;T/O;GRASS;N U;;;;;;
3 low;A;E53;1;10;7;10;31;10;L;L EXT;P W-W;C;;;;;;
3 low;A;E63;1;10;7;8;32;10;L;L;P W-W;C;;;;;;
3 low;A;E51;2;12;7;14;32;10;L;L;PLAIN;;;;;;;
3 low;A;S2;4;8;6;12;31;14;L EXT;L EXT;PLAIN;;;;;;;
3 low;A;S1;3;10;10;10;32;1;T/O;T/O;RSO;;;;;;;
3 low;A;E53;2;10;9;18;32;1;L;L EXT;GRASS;N U;CCRY;U M;;;;
3 low;A;S1;3;12;7;14;32;10;0;T/O;GRASS;N U;;;;;;
3 low;A;S2;2;11;10;12;31;2;0;T/O;GRASS;L U;P B-W;L U;P W-G;N U;;
3 low;A;S1;2;11;8;;31;4;0;T/O;GRASS;L U;P B-W;N U;;;;
3 low;A;E56;1;10;;14;31;9;L;INT L;PLAIN;;;;;;;
3 low;A;E56;1;10;;;31;1;L;INT L;PLAIN;;;;;;;
3 low;A;E7;2;7;;;32;1;0;T/O;RSO;;;;;;;
3 low;A;S1;2;8;7;10;31;12;0;L N;CH;N;P W-W;U;P B-G;U;GRASS;N U
3 low;A;S2;2;9;8;10;31;8;0;EXT;DC2;N U;;;;;;
3 low;A;S1;2;8;7;16;31;1;INT L;INT L;GRASS;N U;P B-W;N U;;;;
3 low;A;E56;1;8;10;;31;4;INT L;T/O;P B-W;L;;;;;;
3 low;A;E70;1;10;8;16;32;2;L;INT EXT;P B-W;L;;;;;;
3 low;A;S1;2;8;6;8;32;12;0;T/O;P R-W;L;P B-W;N U;;;;
3 low;A;BT2;;;;3;32;4;0;EXT;P W-W;C INT;P B-W;N INT;;;;
3 low;A;E56;1;7;;;31;10;I;T/O;RSO;;;;;;;
3 low;A;E56;2;10;12;18;31;1;0;T/O;RSO;;;;;;;
3 low;A;E8;2;8;8;10;31;2;0;T/O;RSO;;;;;;;
3 low;A;E53;1;9;10;16;32;13;0;L EXT;GRASS;C U;P B-W;L U;;;;
3 low;A;E52;1;7;;8;31;10;L;INT L;P W-W;C;;;;;;
3 low;A;S2;2;10;10;8;31;10;L;INT L;P W-W;C;;;;;;
3 low;A;E3;2;11;8;8;32;8;0;T/O;PLAIN;N;TW4;U;;;;
3 low;A;E3;1;10;9;16;31;10;INT L;T/O;RSO;;;;;;;
3 low;A;E56;2;12;8;16;31;13;L;T/O;P W-W;C U;P B-W;N;GRASS;C N;TW6;U
2/3;A;S1;2;8;8;14;32;1;0;T/O;CH;N;GRASS;U;;;;
2/3;A;S2;2;9;8;24;31;9;L;T/O;GRASS;N U;CCRY;U;;;;
2/3;A;S2;2;10;6;16;44;2;L;T/O;GRASS;N U;;;;;;
2/3;A;S1;4;10;7;;31;1;INT L;T/O;GRASS;N U;;;;;;
2/3;A;E52;1;9;10;;31;13;L;T/O;P B-W;L N;P W-W;C;;;;
2/3;A;E59;2;8;;;31;8;0;T/O;P B-W;L;P W-W;C;;;;
2/3;A;E53;2;9;;;31;4;L;T/O;P W-W;C;P B-W;L U;;;;
2/3;A;E56;2;8;;;31;2;L;T/O;P W-W;C;;;;;;
2/3;A;E56;2;7;;;31;1;L;T/O;P W-W;C;;;;;;
2/3;A;S1;2;8;10;12;32;8;0;0;TW1;N U;;;;;;
2/3;A;E52;1;11;10;16;31;1;L;T/O;P B-W;L;P W-W;C;;;;
2/3;A;S1;2;7;6;10;31;1;0;0;SI1;N;TW1;N;EROD;U;;
3 low;A;E52;1;9;10;14;31;13;L;EXT;GRASS;N U;;;;;;
3 low;A;E52;1;9;11;14;44;3;L;INT;GRASS;U;;;;;;
3 low;A;S2;2;11;10;14;44;3;0;INT EXT;GRASS;N;CSR1;U;P B-G;N;P W-G;U
3 low;A;S2;2;8;7;8;32;12;0;INT EXT;GRASS;N;TW1;U;;;;
3 low;A;E3;2;11;6;9;31;1;L;INT EXT;P W-G;C;GRASS;U;P R-W;U;;
3 low;A;S10;3;7;7;8;32;1;0;EXT;TW12;N;ICS1;;;;;
2;A;E3;2;7;10;14;44;8;L;INT EXT;CCRY;U;;;;;;
